User, Scheme, Time, Login, Count, SuccessCount, FailCount, 
"ast103","az09-4",7,1,1,1,0,
"ast103","az09-4",14,1,2,2,0,
"ast103","az09-4",6,1,3,3,0,
"ast103","az09-4",18,0,4,3,1,
"ast103","az09-4",5,1,5,4,1,
"ast103","az09-4",5,1,6,5,1,
"ast103","az09-4",4,1,7,6,1,
"ast103","az09-4",25,1,8,7,1,
"ast103","az09-4",16,1,9,8,1,
"ast103","az09-4",6,1,10,9,1,
"ast103","az09-4",55,1,11,10,1,
"ast103","az09-4",25,1,12,11,1,
"ast103","az09-4",13,1,13,12,1,
"ast103","az09-4",4,1,14,13,1,
"ast103","az09-4",3,1,15,14,1,
"ast103","az09-4",4,1,16,15,1,
"ast103","az09-4",3,1,17,16,1,
"ast104","az09-4",10,1,1,1,0,
"ast104","az09-4",14,0,2,1,1,
"ast104","az09-4",12,0,3,1,2,
"ast104","az09-4",26,0,4,1,3,
"ast104","az09-4",13,0,5,1,4,
"ast104","az09-4",11,0,6,1,5,
"ast104","az09-4",10,0,7,1,6,
"ast104","az09-4",14,1,8,2,6,
"ast104","az09-4",13,0,9,2,7,
"ast104","az09-4",8,0,10,2,8,
"ast104","az09-4",19,0,11,2,9,
"ast104","az09-4",13,1,12,3,9,
"ast104","az09-4",11,1,13,4,9,
"ast104","az09-4",22,1,14,5,9,
"ast104","az09-4",11,1,15,6,9,
"ast104","az09-4",9,1,16,7,9,
"ast104","az09-4",11,1,17,8,9,
"ast104","az09-4",14,0,18,8,10,
"ast104","az09-4",13,1,19,9,10,
"ast104","az09-4",8,1,20,10,10,
"ast104","az09-4",14,1,21,11,10,
"ast104","az09-4",9,1,22,12,10,
"ast104","az09-4",7,1,23,13,10,
"ast104","az09-4",11,1,24,14,10,
"ast104","az09-4",9,1,25,15,10,
"ast104","az09-4",19,1,26,16,10,
"ast105","az09-4",4,1,1,1,0,
"ast105","az09-4",7,1,2,2,0,
"ast105","az09-4",7,0,3,2,1,
"ast105","az09-4",5,1,4,3,1,
"ast105","az09-4",14,0,5,3,2,
"ast105","az09-4",4,0,6,3,3,
"ast105","az09-4",6,1,7,4,3,
"ast105","az09-4",7,1,8,5,3,
"ast105","az09-4",9,1,9,6,3,
"ast105","az09-4",7,1,10,7,3,
"ast105","az09-4",7,1,11,8,3,
"ast105","az09-4",8,1,12,9,3,
"ast105","az09-4",12,1,13,10,3,
"ast105","az09-4",8,1,14,11,3,
"ast105","az09-4",5,1,15,12,3,
"ast107","az09-4",6,1,1,1,0,
"ast107","az09-4",4,1,2,2,0,
"ast107","az09-4",5,1,3,3,0,
"ast107","az09-4",4,0,4,3,1,
"ast107","az09-4",5,0,5,3,2,
"ast107","az09-4",7,1,6,4,2,
"ast107","az09-4",3,1,7,5,2,
"ast107","az09-4",4,1,8,6,2,
"ast107","az09-4",9,1,9,7,2,
"ast107","az09-4",4,0,10,7,3,
"ast107","az09-4",3,1,11,8,3,
"ast107","az09-4",4,1,12,9,3,
"ast107","az09-4",6,0,13,9,4,
"ast107","az09-4",7,1,14,10,4,
"ast107","az09-4",6,1,15,11,4,
"ast107","az09-4",3,1,16,12,4,
"ast107","az09-4",15,0,17,12,5,
"ast107","az09-4",5,0,18,12,6,
"ast107","az09-4",4,1,19,13,6,
"ast107","az09-4",7,1,20,14,6,
"ast107","az09-4",5,1,21,15,6,
"ast108","az09-4",7,1,1,1,0,
"ast108","az09-4",3,1,2,2,0,
"ast108","az09-4",4,1,3,3,0,
"ast108","az09-4",14,1,4,4,0,
"ast108","az09-4",4,1,5,5,0,
"ast108","az09-4",4,1,6,6,0,
"ast108","az09-4",7,1,7,7,0,
"ast108","az09-4",3,1,8,8,0,
"ast108","az09-4",3,1,9,9,0,
"ast108","az09-4",3,1,10,10,0,
"ast108","az09-4",2,1,11,11,0,
"ast108","az09-4",3,1,12,12,0,
"ast108","az09-4",3,1,13,13,0,
"ast108","az09-4",3,1,14,14,0,
"ast108","az09-4",3,1,15,15,0,
"ast108","az09-4",4,1,16,16,0,
"ast108","az09-4",3,1,17,17,0,
"ast108","az09-4",4,1,18,18,0,
"ast108","az09-4",3,1,19,19,0,
"ast111","az09-4",13,0,1,0,1,
"ast111","az09-4",19,0,2,0,2,
"ast111","az09-4",7,0,3,0,3,
"ast111","az09-4",6,0,4,0,4,
"ast111","az09-4",7,0,5,0,5,
"ast111","az09-4",11,0,6,0,6,
"ast111","az09-4",5,0,7,0,7,
"ast111","az09-4",5,0,8,0,8,
"ast111","az09-4",5,1,9,1,8,
"ast111","az09-4",6,1,10,2,8,
"ast111","az09-4",6,1,11,3,8,
"ast111","az09-4",10,1,12,4,8,
"ast111","az09-4",7,1,13,5,8,
"ast111","az09-4",6,1,14,6,8,
"ast111","az09-4",9,1,15,7,8,
"ast111","az09-4",10,1,16,8,8,
"ast111","az09-4",165,1,17,9,8,
"ast111","az09-4",8,1,18,10,8,
"ast111","az09-4",11,1,19,11,8,
"ast111","az09-4",8,1,20,12,8,
"ast112","az09-4",6,1,1,1,0,
"ast112","az09-4",6,1,2,2,0,
"ast112","az09-4",7,1,3,3,0,
"ast112","az09-4",11,1,4,4,0,
"ast112","az09-4",7,1,5,5,0,
"ast112","az09-4",6,1,6,6,0,
"ast112","az09-4",13,1,7,7,0,
"ast112","az09-4",7,1,8,8,0,
"ast112","az09-4",7,1,9,9,0,
"ast112","az09-4",10,1,10,10,0,
"ast112","az09-4",7,1,11,11,0,
"ast112","az09-4",7,1,12,12,0,
"ast112","az09-4",7,1,13,13,0,
"ast112","az09-4",6,1,14,14,0,
"ast112","az09-4",9,1,15,15,0,
"ast114","az09-4",7,0,1,0,1,
